X,CH1,Start,Increment,
Sequence,Volt,-1.200000e-01,2.000000e-04
0,-1.20e-02,
1,6.00e-02,
2,-4.00e-03,
3,6.40e-02,
4,6.00e-02,
5,-8.00e-03,
6,-8.00e-03,
7,6.40e-02,
8,-8.00e-03,
9,6.40e-02,
10,-8.00e-03,
11,6.00e-02,
12,6.80e-02,
13,-1.20e-02,
14,6.40e-02,
15,-1.60e-02,
16,6.00e-02,
17,-4.00e-03,
18,-4.00e-03,
19,6.40e-02,
20,6.40e-02,
21,-4.00e-03,
22,-4.00e-03,
23,6.00e-02,
24,6.00e-02,
25,-8.00e-03,
26,-4.00e-03,
27,6.40e-02,
28,-1.20e-02,
29,6.40e-02,
30,5.60e-02,
31,-2.00e-02,
32,-8.00e-03,
33,6.40e-02,
34,6.00e-02,
35,-8.00e-03,
36,-8.00e-03,
37,6.40e-02,
38,-4.00e-03,
39,6.40e-02,
40,6.40e-02,
41,-4.00e-03,
42,6.00e-02,
43,-4.00e-03,
44,6.00e-02,
45,-1.20e-02,
46,6.80e-02,
47,-1.20e-02,
48,6.00e-02,
49,-8.00e-03,
50,-8.00e-03,
51,6.40e-02,
52,-4.00e-03,
53,6.40e-02,
54,-1.48e-01,
55,6.40e-02,
56,0.00e+00,
57,7.20e-02,
58,4.00e-03,
59,7.20e-02,
60,6.80e-02,
61,-4.00e-03,
62,6.40e-02,
63,-8.00e-03,
64,6.40e-02,
65,-4.00e-03,
66,-4.00e-03,
67,6.80e-02,
68,6.40e-02,
69,-1.20e-02,
70,0.00e+00,
71,6.40e-02,
72,6.00e-02,
73,-4.00e-03,
74,6.40e-02,
75,-8.00e-03,
76,6.40e-02,
77,-4.00e-03,
78,0.00e+00,
79,6.80e-02,
80,6.40e-02,
81,-4.00e-03,
82,0.00e+00,
83,6.40e-02,
84,-4.00e-03,
85,6.80e-02,
86,6.40e-02,
87,-8.00e-03,
88,-8.00e-03,
89,6.40e-02,
90,-4.00e-03,
91,6.40e-02,
92,6.80e-02,
93,-4.00e-03,
94,-4.00e-03,
95,6.40e-02,
96,0.00e+00,
97,6.40e-02,
98,6.00e-02,
99,-8.00e-03,
100,6.40e-02,
101,-4.00e-03,
102,6.00e-02,
103,-4.00e-03,
104,6.00e-02,
105,-1.60e-02,
106,6.40e-02,
107,-1.20e-02,
108,6.00e-02,
109,-8.00e-03,
110,6.00e-02,
111,-1.20e-02,
112,6.00e-02,
113,-8.00e-03,
114,-4.00e-03,
115,6.80e-02,
116,6.40e-02,
117,-4.00e-03,
118,6.40e-02,
119,-4.00e-03,
120,6.80e-02,
121,-4.00e-03,
122,6.80e-02,
123,-4.00e-03,
124,-8.00e-03,
125,6.80e-02,
126,0.00e+00,
127,2.12e-01,
128,6.00e-02,
129,-4.00e-03,
130,-8.00e-03,
131,6.40e-02,
132,6.00e-02,
133,-8.00e-03,
134,6.00e-02,
135,-8.00e-03,
136,6.40e-02,
137,-1.20e-02,
138,-4.00e-03,
139,6.00e-02,
140,6.80e-02,
141,-1.20e-02,
142,6.00e-02,
143,-8.00e-03,
144,6.00e-02,
145,-1.20e-02,
146,6.00e-02,
147,-8.00e-03,
148,6.00e-02,
149,-1.20e-02,
150,-4.00e-03,
151,6.00e-02,
152,6.40e-02,
153,-4.00e-03,
154,6.40e-02,
155,-1.20e-02,
156,6.00e-02,
157,-4.00e-03,
158,6.00e-02,
159,0.00e+00,
160,-4.00e-03,
161,6.40e-02,
162,6.00e-02,
163,-4.00e-03,
164,6.00e-02,
165,0.00e+00,
166,6.80e-02,
167,-8.00e-03,
168,6.40e-02,
169,-4.00e-03,
170,6.40e-02,
171,-1.20e-02,
172,-4.00e-03,
173,6.80e-02,
174,6.80e-02,
175,-8.00e-03,
176,0.00e+00,
177,6.80e-02,
178,-4.00e-03,
179,6.00e-02,
180,6.00e-02,
181,-8.00e-03,
182,6.40e-02,
183,-8.00e-03,
184,6.00e-02,
185,-8.00e-03,
186,5.60e-02,
187,-8.00e-03,
188,-4.00e-03,
189,6.00e-02,
190,-8.00e-03,
191,6.00e-02,
192,-4.00e-03,
193,6.00e-02,
194,6.00e-02,
195,-8.00e-03,
196,6.00e-02,
197,-8.00e-03,
198,6.00e-02,
199,-8.00e-03,
200,6.40e-02,
201,-4.00e-03,
202,-4.00e-03,
203,6.40e-02,
204,6.00e-02,
205,-4.00e-03,
206,6.40e-02,
207,-8.00e-03,
208,-1.48e-01,
209,6.40e-02,
210,6.80e-02,
211,-8.00e-03,
212,6.80e-02,
213,0.00e+00,
214,6.40e-02,
215,-4.00e-03,
216,-4.00e-03,
217,6.80e-02,
218,6.40e-02,
219,-8.00e-03,
220,-4.00e-03,
221,6.40e-02,
222,6.40e-02,
223,-4.00e-03,
224,6.40e-02,
225,-4.00e-03,
226,6.40e-02,
227,-1.60e-02,
228,6.00e-02,
229,-8.00e-03,
230,-1.20e-02,
231,6.00e-02,
232,6.00e-02,
233,-1.20e-02,
234,-4.00e-03,
235,6.40e-02,
236,6.00e-02,
237,-4.00e-03,
238,6.00e-02,
239,0.00e+00,
240,0.00e+00,
241,6.80e-02,
242,6.80e-02,
243,-4.00e-03,
244,6.80e-02,
245,-1.20e-02,
246,6.00e-02,
247,-4.00e-03,
248,-1.20e-02,
249,6.80e-02,
250,6.00e-02,
251,-8.00e-03,
252,6.80e-02,
253,-8.00e-03,
254,6.80e-02,
255,-8.00e-03,
256,6.00e-02,
257,-8.00e-03,
258,-4.00e-03,
259,6.40e-02,
260,6.40e-02,
261,-4.00e-03,
262,6.00e-02,
263,-8.00e-03,
